"Sol",0,0,0,4.8,"G"
"Proxima Centauri",3.07258,3.003819,-.1622458,15.1,"M"
"Alpha Centauri",3.005764,3.129838,-7.140033E-02,4.3,"G"
"Barnard's Star",-3.019665,5.000665,1.369298,13.4,"M"
"Wolf 359",3.829099,-1.775702,6.4401,16.8,"M"
"Lalande 21185",.277666,-3.349894,7.588881,32000,"M"
"Sirius",6.357456,-5.808424,-1.238934,1.45,"A"
"L726-8",-.1120617,-2.307378,-8.698474,15.2,"M"
"Ross 154",-1.885862,9.134134,-1.805857,32000,"M"
"Ross 248",-9.219568,-3.465297,-3.013515,32000,"M"
"Epsilon Eridani",2.068991,-7.021595,-7.940811,6.1,"K"
"L789-6",-4.278923,3.887568,-9.12237,32000,"M"
"Ross 128",5.464175,.1565713,9.43018,32000,"M"
"61 Cygni",-10.94406,1.413171,-1.200234,7.8,"K"
"Procyon",6.155524,-9.08747,2.686524,2.6,"F"
"Epsilon Indi",3.071568,6.906746,-8.5336,7.0,"K"
"Sigma-2398",-10.42823,.1224551,4.604017,11.2,"M"
"Groombridge 34",-9.865059,-5.083967,-3.704577,10.3,"M"
"Tau Ceti",-.3114478,-3.468378,-11.27446,5.7,"G"
"Lacaille 9352",-.4021341,4.724584,-10.91451,9.6,"M"
"BD+5ø1668",6.502277,-10.16615,2.379054,32000,"M"
"Cordoba 29191",-.6316143,8.964685,-8.973598,32000,"M"
"Kapteyn's Star",-3.624352,-12.13855,.8997657,10.8,"M"
"Krueger 60",-12.6479,-3.411664,-3.588935E-02,11.8,"M"
"Ross 614",7.160565,-10.8988,-1.245969,13.1,"M"
"BD-12ø4523",-.8361796,12.30328,5.243111,32000,"M"
"Dubhe",-40.01247,-52.00611,81.97174,-0.7,"K"
"Merak",-23.74016,-39.02932,65.67432,0.5,"A"
"Phecda",-27.44162,-32.72453,79.2216,0.2,"A"
"Megrez",-24.5379,-21.91066,56.06081,1.9,"A"
"Alioth",-28.81629,-17.48484,61.35065,0.2,"A"
"Mizar",-38.85489,-15.84186,77.35201,0.9,"A"
"Alkaid",-87.18105,-14.72769,190.4798,-2.1,"B"
"Betelgeuse",177.6919,-482.9894,-74.47694,-5.6,"M"
"Rigel",404.5699,-711.8541,-373.6133,-7.1,"B"
"Bellatrix",135.2661,-432.7924,-123.6681,-4.2,"B"
"Mintaka",589.1827,-1307.628,-439.2859,-5.9,"O"
"Alnilam",663.2318,-1383.207,-454.8197,-6.8,"B"
"Alnitak",694.9488,-1373.176,-437.5305,-6.6,"B"
"Eta Orionis",377.8448,-800.5275,-316.2104,-4.2,"B"
"Iota Orionis",943.4708,-1640.762,-646.3451,-6,"O"
"Saiph",1143.494,-1640.555,-641.0921,-6.9,"B"
"Lambda Orionis",471.1596,-1701.148,-352.2837,-5.1,"O"
"Pi-3 Orionis",4.963114,-23.52456,-9.897607,3.6,"F"
"Sigma Orionis",613.4509,-1193.003,-400.5262,-4.4,"O"
"Canopus",98.65714,-15.04356,-46.26512,-3.1,"F"
"Arcturus",-3.740529,13.09547,34.40228,-.3,"K"
"Vega",-23.65789,9.716995,8.653582,.5,"A"
"Capella",-13.1545,-42.84923,3.987848,-.6,"G"
"Achernar",58.57443,21.37852,-102.528,-2.3,"B"
"Hadar",363.0591,328.9445,9.140209,-5.2,"B"
"Altair",-11.75476,10.52354,-2.660957,2.2,"A"
"Aldebaran",1.638066,-64.03711,-22.8159,-.74,"K"
"Acrux",318.7463,187.8678,-2.539163,-4.4,"B"
"Antares",66.02724,499.1614,129.9167,-5.1,"M"
"Spica",118.2322,128.3859,212.5164,-3.6,"B"
"Pollux",6.938049,-31.18133,14.30344,1,"K"
"Fomalhaut",-3.356992,8.879338,-20.94965,2,"A"
"Deneb",-1592.417,148.9763,44.88324,-7.1,"A"
"Beta Crucis",410.8173,265.7462,26.6105,-4.6,"B"
"Regulus",40.33593,-37.49162,64.74868,-.7,"B"
"Adhara",579.5078,-332.5606,-126.3891,-5,"B"
"Castor",5.564424,-40.99765,17.69831,.89,"A"
"Shaula",42.44636,306.707,-15.13711,-3.3,"B"
